Youtuber,subscribers,video views,category,uploads,lowest_monthly_earnings,highest_monthly_earnings,created_year
MiawAug,20200000,6098644584,Gaming,3713,16100,258000,2014
CookieSwirlC,20100000,23353115850,Entertainment,3774,55400,886800,2013
Skrillex,20100000,6618524158,Music,241,6300,101100,2010
AuthenticGames,20100000,8920141342,Gaming,4974,1400,21700,2011
Robin Hood Gamer,20100000,10366850490,Entertainment,0,0,0,2013
Pencilmation,20100000,11317309935,Film & Animation,1481,3700,59400,2007
7clouds,20100000,14816075927,Music,2384,69200,1100000,2013
5-Minute Crafts PLAY,20100000,6119294270,Howto & Style,5491,26400,423100,2017
Marvel Entertainment,20100000,5634695322,Entertainment,1,0.02,0.25,2011
BuzzFeedVideo,20100000,17913237851,People & Blogs,7737,2300,36400,2011
REACT,20000000,13154314376,Entertainment,4339,5800,92800,2007
Vevo,20000000,559765455,Music,1527,333,5300,2006
Gordon Ramsay,20000000,3875172235,Entertainment,1527,9800,156900,2006
Pentatonix,20000000,6033295543,Music,1,0,0,2006
Green Gold TV - Official Channel,20000000,9715291883,Film & Animation,1476,0,0,2011
Gusttavo Lima Oficial,19900000,13917423958,Music,416,53700,859200,2010
HaerteTest,19800000,3234880084,Science & Technology,1411,1400,22600,2011
Crafty Panda,19800000,5759442450,People & Blogs,760,1500,24500,2017
SOMOY TV,19800000,12293479945,News & Politics,9930,4,65,2013
JennaMarbles,19700000,1803249241,Comedy,250,942,15100,2010
Troom Troom Es,19700000,7452667615,People & Blogs,2912,7300,117500,2016
Official Pink Panther,19700000,10955619815,Film & Animation,1,0,0,2011
Britain's Got Talent,19700000,11323617496,Entertainment,4225,13500,216800,2008
SCTV,19700000,9808676159,Entertainment,267,0.08,1,2006
AS Gaming,19600000,2851024430,Gaming,17,0.01,0.09,2009
Sony AATH,19600000,13930021471,Shows,18661,68600,1100000,2013
tabii Urdu,19600000,8779729549,Entertainment,1306,27700,443200,2020
DaFuq!?Boom!,19600000,7906181776,Film & Animation,214,576000,9200000,2016
Clash of Clans,19600000,3961318438,Gaming,674,5600,89200,2013
RKD Studios,19500000,5234251168,Entertainment,847,0,0,2014
DLS News,19400000,2255542592,News & Politics,4750,8000,128400,2017
JukiLop,19400000,1577859332,People & Blogs,85,595,9500,2017
etvteluguindia,19400000,23038014291,Entertainment,125974,68200,1100000,2010
FIFA,19400000,5529131886,Sports,10728,14700,235500,2006
Manoj  parihar,19300000,264228052,nan,335,9300,148700,2021
Vsauce,19300000,2897907132,Science & Technology,462,17400,278500,2007
Unbox Therapy,19300000,4508184467,Science & Technology,2175,4200,66900,2010
shane,19200000,4329121104,People & Blogs,570,683,10900,2005
Sonotek,19200000,7590582024,Entertainment,8285,7200,114700,2011
Jimmy Kimmel Live,19100000,13124645973,Entertainment,6526,4300,69000,2006
TheOdd1sOut,19100000,4566120190,Comedy,139,7700,123900,2014
Goldmines Great Indian Comedy,19100000,5194942269,Film & Animation,2948,16500,263700,2016
Lil Nas X,19100000,6339584661,Music,37,11500,184800,2018
ıııııııııııııı ıııı,19000000,4924054368,Education,60,5400,86300,2018
SUPER SLICK SLIME SAM,19000000,7229175322,Howto & Style,903,30800,493400,2018
Wow Kidz Action,19000000,8281724393,Film & Animation,1525,26400,422800,2017
Turma da Mï¿½ï¿½,19000000,13824277846,Film & Animation,1154,19200,307600,2012
Calvin Harris,19000000,16014044618,Music,79,25600,409600,2007
KBS WORLD TV,19000000,15126092508,Entertainment,64496,27000,432000,2007
HiMan,18900000,2855519150,People & Blogs,375,6100,98300,2014
Masha e o Urso,18900000,8301731337,Shows,0,0,0,2014
Little Angel Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,18900000,9813245108,Education,719,35100,561600,2018
TED-Ed,18800000,3654621568,Education,2072,7500,119500,2011
Sidemen,18800000,5257834105,Entertainment,312,19500,312600,2015
Cardi B,18800000,7634430188,People & Blogs,9,0,0.03,2017
Busy Fun Ltd,18800000,7762077012,nan,2,0,0,2021
Farruko,18800000,9573641299,Music,217,24400,391000,2009
ıııııııııııııııııııııı,18800000,9594188708,Entertainment,530,17000,272000,2014
Triggered Insaan,18800000,3276891538,Comedy,304,27300,436100,2014
CKN,18700000,12295637162,Entertainment,16,0.03,0.41,2005
Ali-A,18700000,6148303268,Gaming,2,0,0,2016
Shemaroo Comedy,18600000,6047584292,Entertainment,4487,25600,409700,2007
Smile Family Spanish,18600000,7008250496,nan,457,10800,173600,2019
GRAMMY GOLD OFFICIAL,18600000,20196704276,Music,6287,42100,674400,2014
ıııııııı ıııııııııı ıııııııııı | Arab Games Network,18600000,8761255550,Gaming,6289,10800,172000,2013
Dan-Sa / Daniel Saboya,18500000,2908120896,Music,1329,0,0,2007
Marmok,18500000,3457618361,Gaming,374,9600,153100,2008
The ACE Family,18500000,4558380251,People & Blogs,712,709,11300,2016
Like Nastya Vlog,18500000,8147575884,People & Blogs,493,12200,195800,2016
Willie Salim,18500000,4051072188,People & Blogs,679,49300,789500,2014
PDK Films,18400000,4120324310,Entertainment,111,3600,57700,2009
TheWillyrex,18400000,7038827526,Comedy,6943,2800,44000,2011
RsiamMusic : ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,18400000,11544297793,Music,3159,13500,216500,2011
Dhar Mann,18400000,11280732382,People & Blogs,0,0,0,2007
shakiraVEVO,18400000,25367126292,Music,197,66800,1100000,2009
Naisa Alifia Yuriza (N.A.Y),18300000,1606834186,People & Blogs,786,4300,68300,2017
Miley Cyrus,18300000,7760819588,Entertainment,142,32000,511900,2009
IShowSpeed,18300000,1556003039,Gaming,1324,35100,561000,2016
Good Mythical Morning,18300000,8798044678,Entertainment,0,0,0,nan
Bobby chourasiya,18200000,9937823152,People & Blogs,442,117000,1900000,2019
INCRï¿½ï¿,18200000,3213324455,People & Blogs,6903,4500,72200,2017
Jake Fellman,18100000,13378360425,Entertainment,420,124300,2000000,2012
GEN HALILINTAR,18100000,3306242674,Entertainment,1037,6800,109200,2015
SQUEEZIE,18100000,9983065083,Gaming,1521,12000,192400,2011
Blippi - Educational Videos for Kids,18100000,14857290259,Education,707,45100,721600,2014
officialpsy,18100000,10703830496,Music,131,16200,260000,2010
Ajay Sharma,18100000,12249828886,Entertainment,0,0,0,2009
Manual do Mundo,18000000,3980991248,Howto & Style,2470,13700,219100,2006
How Ridiculous,18000000,9601137077,Sports,650,97800,1600000,2009
And TV,18000000,15412333005,Entertainment,45,0,0.02,2006
Sebastiï¿½ï¿½ï¿½,18000000,10463166404,News & Politics,237,27700,443100,2013
SonyMusicSouthVEVO,18000000,17921124985,Music,5692,64400,1000000,2014
TheGrefg,18000000,6404852037,Gaming,3566,11000,175300,2012
BeatboxJCOP,18000000,8716982055,Film & Animation,748,343800,5500000,2011
David Dobrik,17900000,7176572299,People & Blogs,536,2200,34600,2014
KatieAngel,17900000,3841205465,People & Blogs,982,12900,206700,2015
RobleisIUTU,17900000,5168721499,Entertainment,1344,6900,110200,2013
Lele Pons,17900000,5244917119,Comedy,185,4600,74200,2015
Demi Lovato,17900000,6888074944,Music,314,7300,116700,2008
Like Nastya VNM,17900000,9867515979,Entertainment,602,21100,337900,2019
Jason Derulo,17900000,9887116267,Music,830,112000,1800000,2008
MGC Playhouse,17900000,16174530046,Shows,1426,25700,410500,2009
Zuni and Family,17900000,6746269458,People & Blogs,2,0,0.02,2020
Priyal Kukreja,17800000,11057945183,People & Blogs,772,107800,1700000,2021
MSA previously My Story Animated,17800000,8588704539,Film & Animation,26,5,83,2021
ııııııııı KIMPRO,17700000,19206701832,nan,1646,850900,13600000,2017
Jane ASMR ï¿½ï¿½,17700000,7387621644,nan,1888,0,0,2012
ArianaGrandeVevo,17700000,20115544708,Music,178,24400,389700,2010
jaanvi patel,17700000,7912733203,People & Blogs,512,86700,1400000,2018
tanboy kun,17700000,3647267655,People & Blogs,739,12000,192700,2016
Lil Pump,17700000,4196061192,Music,60,0,0,2015
Porta dos Fundos,17700000,7739048000,Entertainment,2240,8800,141300,2012
News 24,17700000,8396875537,News & Politics,211620,92700,1500000,2006
Les' Copaque Production,17700000,9059696049,Film & Animation,1716,29400,470900,2009
El Payaso Plim Plim,17700000,17247584185,Film & Animation,1316,160000,2600000,2013
zbing z.,17600000,9269174070,Gaming,3151,13800,220500,2014
MissaSinfonia,17600000,2274007523,Comedy,233,6900,109800,2011
ııııııııı Liziqi,17600000,2977741577,Howto & Style,128,5600,89400,2017
The Game Theorists,17600000,3752347262,Gaming,0,0,0,nan
DeGoBooM,17600000,6306204566,Gaming,4702,25100,400900,2014
JFlaMusic,17600000,3802280098,Music,326,2800,44400,2011
FactTechz,17500000,2238134438,Entertainment,709,5300,84200,2016
News18 India,17500000,7263619576,News & Politics,182742,98500,1600000,2007
Fun For Kids TV - Hindi Rhymes,17500000,7612385622,Entertainment,149,27500,439400,2017
IGN,17500000,16107116549,Gaming,156215,24600,393400,2006
Aphmau,17400000,17763586483,Gaming,4411,110000,1800000,2012
